forecast_generated_at_utc,forecast_date,horizon_day,timestamp,sku,part_name,category,seasonality_profile,location_id,city,country_code,climate_zone,predicted_quantity,raw_predicted_quantity,local_guard_prediction,sale_probability,conditional_quantity_if_sale,two_stage_predicted_quantity,prediction_scope,local_calibration_weight,local_calibration_scale,predicted_revenue_eur,temperature_c,temp_change_3d_c,rain_mm,snow_cm,weather_spike_flag,cold_snap_flag,heatwave_flag,is_payday_window,event_type,event_multiplier,segment_name,cluster,seasonality_score,weather_sensitivity_score,uplift_cold_snap_flag,uplift_heatwave_flag,uplift_weather_spike_flag,uplift_temperature_drop_flag,uplift_temperature_rise_flag,uplift_is_payday_window,uplift_promotion_flag,uplift_service_campaign_flag,trigger_effect,expected_quantity,mild_weather_quantity,severe_weather_quantity,promo_payday_quantity,pessimistic_quantity,optimistic_quantity
2026-05-13T10:30:06Z,2026-01-01,1,2026-01-01T18:00:00,PEU-WF-WINTER-5L,Lichid parbriz iarna -20C 5L,winter_fluids,unknown,FI_HEL,Helsinki,Finland,Nordic,46.4303,46.4303,46.4303,1.0,46.9567,46.9567,sku_location_raw_fallback,1.0,1.0,348.23,-5.99,0.11,1.33,10.43,0,1,0,0,none,1.0,promotion_travel_sensitive,1,1.9504,2.2696,1.9985,-0.1385,2.2696,0.4822,-0.1385,0.0669,0.2997,0.1798,1.9985,46.4303,30.961253005749438,78.9071340925,46.4303,27.865127705174494,78.9071340925
2026-05-13T10:30:06Z,2026-01-01,1,2026-01-01T18:00:00,PEU-WIPER-650,Stergatoare fata 650mm,wipers,unknown,FI_HEL,Helsinki,Finland,Nordic,11.2565,11.2565,11.2565,1.0,11.6087,11.6087,sku_location_raw_fallback,1.0,1.0,202.62,-5.99,0.11,1.33,10.43,0,1,0,0,none,1.0,fast_moving_stable,2,0.9643,0.427,0.2249,0.059,0.427,0.0933,0.059,0.0841,0.3535,0.3832,0.2249,11.2565,10.657283573780614,12.142555397500002,11.2565,9.591555216402552,12.944975
2026-05-13T10:30:06Z,2026-01-01,1,2026-01-01T18:00:00,PEU-BATT-70AH,Baterie 70Ah AGM/EFB,battery,unknown,FI_HEL,Helsinki,Finland,Nordic,6.9578,6.9578,6.9578,1.0,6.986,6.986,sku_location_raw_fallback,1.0,1.0,1008.88,-5.99,0.11,1.33,10.43,0,1,0,0,none,1.0,fast_moving_stable,2,0.551,0.6267,0.6267,-0.1756,0.4471,0.5771,-0.1756,0.0823,0.0853,-0.0394,0.6267,6.9578,6.015340510220668,8.483958641,6.9578,5.413806459198601,8.483958641
2026-05-13T10:30:06Z,2026-01-01,1,2026-01-01T18:00:00,PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,ac_cooling,unknown,FI_HEL,Helsinki,Finland,Nordic,3.1929,3.1929,3.1929,1.0,3.228,3.228,sku_location_raw_fallback,1.0,1.0,124.52,-5.99,0.11,1.33,10.43,0,1,0,0,none,1.0,summer_heat_sensitive,3,2.1467,1.5299,-0.6136,1.5299,-0.5548,0.2632,1.5299,0.0527,-0.0977,-0.6261,0.0,3.1929,3.192896807103193,3.1929,3.1929,2.8736071263928737,3.6718349999999997
2026-05-13T10:30:06Z,2026-01-01,1,2026-01-01T18:00:00,PEU-CABIN-CARBON,Filtru habitaclu cu carbon,filters,unknown,FI_HEL,Helsinki,Finland,Nordic,6.3907,6.3907,6.3907,1.0,6.4242,6.4242,sku_location_raw_fallback,1.0,1.0,121.42,-5.99,0.11,1.33,10.43,0,1,0,0,none,1.0,fast_moving_stable,2,1.1753,0.2469,-0.2984,0.2469,-0.2233,-0.1207,0.2469,0.0769,0.1235,0.2113,0.0,6.3907,6.390693609306391,6.3907,6.3907,5.751624248375752,7.349304999999999
2026-05-13T10:30:06Z,2026-01-01,1,2026-01-01T18:00:00,PEU-SUMMER-TIRE-205,Anvelopa vara 205/55R16,tires,unknown,FI_HEL,Helsinki,Finland,Nordic,2.0919,2.0919,2.0919,1.0,2.1155,2.1155,sku_location_raw_fallback,1.0,1.0,150.61,-5.99,0.11,1.33,10.43,0,1,0,0,none,1.0,fast_moving_stable,2,2.6909,0.0,-0.5112,-0.3236,-0.4007,-0.3418,-0.3236,0.0879,0.1017,0.6308,0.0,2.0919,2.091897908102092,2.0919,2.0919,1.882708117291883,2.4056849999999996
2026-05-13T10:30:06Z,2026-01-01,1,2026-01-01T18:00:00,PEU-WINTER-TIRE-205,Anvelopa iarna 205/55R16,tires,unknown,FI_HEL,Helsinki,Finland,Nordic,14.6544,14.6544,14.6544,1.0,14.8786,14.8786,sku_location_raw_fallback,1.0,1.0,1143.05,-5.99,0.11,1.33,10.43,0,1,0,0,none,1.0,winter_weather_sensitive,4,2.8914,1.3555,0.9247,0.3597,1.3555,0.8807,0.3597,0.0743,0.7186,0.7441,0.9247,14.6544,11.902766135792122,19.397223288,14.6544,10.71248952221291,19.397223288
2026-05-13T10:30:06Z,2026-01-01,1,2026-01-01T18:00:00,PEU-ANTIFREEZE-G12,Antigel G12 concentrat 1L,coolant,unknown,FI_HEL,Helsinki,Finland,Nordic,11.4977,11.4977,11.4977,1.0,11.8636,11.8636,sku_location_raw_fallback,1.0,1.0,97.73,-5.99,0.11,1.33,10.43,0,1,0,0,none,1.0,fast_moving_stable,2,0.8894,0.3401,0.3205,0.3089,0.3299,0.3401,0.3089,0.0832,0.2399,0.0535,0.3205,11.4977,10.644776627911929,12.787454497499999,11.4977,9.580298965120736,13.222354999999999
2026-05-13T10:30:06Z,2026-01-01,1,2026-01-01T18:00:00,PEU-COOLANT-PREMIX,Lichid racire premix 5L,coolant,unknown,FI_HEL,Helsinki,Finland,Nordic,10.2506,10.2506,10.2506,1.0,10.3675,10.3675,sku_location_raw_fallback,1.0,1.0,164.01,-5.99,0.11,1.33,10.43,0,1,0,0,none,1.0,fast_moving_stable,2,0.8871,0.3462,0.3224,0.3047,0.3332,0.3462,0.3047,0.0825,0.2466,0.0513,0.3224,10.2506,9.486017503222744,11.407277704,10.2506,8.53741575290047,11.78819
2026-05-13T10:30:06Z,2026-01-01,1,2026-01-01T18:00:00,PEU-OIL-5W30-5L,Ulei motor 5W30 5L,maintenance,unknown,FI_HEL,Helsinki,Finland,Nordic,8.8135,8.8135,8.8135,1.0,9.1948,9.1948,sku_location_raw_fallback,1.0,1.0,370.17,-5.99,0.11,1.33,10.43,0,1,0,0,none,1.0,salary_event_sensitive,0,0.1182,0.0,-0.0171,-0.1032,-0.0309,-0.011,-0.1032,0.3476,0.0307,-0.0288,0.0,8.8135,8.813491186508813,8.8135,8.8135,7.9321420678579315,10.135525
