sku,location_id,part_name,category,city,country_code,climate_zone,forecast_21d_units,forecast_avg_daily,forecast_peak_day_units,avg_temp_c,min_temp_c,max_temp_c,rain_days,snow_days,cold_snap_days,heatwave_days,weather_spike_days,temperature_drop_days,temperature_rise_days,payday_window_days,cold_risk_days,heat_risk_days,wet_risk_days,weather_risk_days,business_trigger_days,baseline_avg_daily,baseline_last_21d_units,baseline_21d_units,uplift_vs_baseline_percent,seasonality_score,weather_sensitivity_score,business_impact_score,current_stock,safety_stock,optimal_stock,min_order_qty,lead_time_days,pending_order_qty,supplier_id,supplier_name,supplier_country_code,reliability_score,avg_delay_days,available_stock,lead_time_demand,projected_stock_after_21d,coverage_days,required_stock,raw_reorder_need,recommended_order_qty,risk_status,lost_sales_risk_units,reorder_message,recommended_action,recommended_qty,priority,explanation
PEU-WF-WINTER-5L,FI_HEL,Lichid parbriz iarna -20C 5L,winter_fluids,Helsinki,Finland,Nordic,922.9987,43.95231904761905,46.4303,-6.748571428571428,-8.29,-5.81,0,21,21,0,0,0,0,0,21,0,21,21,21,54.25,1172.0,1139.25,-18.98,1.9504,2.2696,84.54,164,80,160,80,14,0,SUP-FLUIDS-EU,EuroFluids Logistics,DE,0.93,0.6,164,615.3324666666667,-758.9987,3.7313161130588393,741.7627666666667,577.7627666666667,886,critical,759.0,Order 886 buc pentru a acoperi lead time + safety stock.,order,836,high,Risc stockout: 3.7 zile acoperire vs lead time 14 zile.
PEU-WF-WINTER-5L,EE_TLL,Lichid parbriz iarna -20C 5L,winter_fluids,Tallinn,Estonia,Nordic,890.811,42.41957142857143,45.74,-5.933333333333333,-7.29,-4.45,0,21,17,0,0,0,0,3,21,0,21,21,21,49.267857142857146,1092.0,1034.625,-13.9,1.9785,2.2321,84.31,192,80,160,80,14,0,SUP-FLUIDS-EU,EuroFluids Logistics,DE,0.93,0.6,192,593.874,-698.811,4.52621252426108,719.614,527.614,825,critical,698.81,Order 825 buc pentru a acoperi lead time + safety stock.,order,772,high,Risc stockout: 4.6 zile acoperire vs lead time 14 zile.
PEU-WF-WINTER-5L,SE_STO,Lichid parbriz iarna -20C 5L,winter_fluids,Stockholm,Sweden,Nordic,860.6875,40.98511904761905,43.5167,-4.496666666666667,-5.53,-3.03,0,21,9,0,0,0,0,0,21,0,21,21,21,46.767857142857146,1128.0,982.125,-12.36,1.9083,2.0075,83.38,178,80,160,80,14,0,SUP-FLUIDS-EU,EuroFluids Logistics,DE,0.93,0.6,178,573.7916666666667,-682.6875,4.343039615186892,697.3083666666668,519.3083666666668,807,critical,682.69,Order 807 buc pentru a acoperi lead time + safety stock.,order,760,high,Risc stockout: 4.4 zile acoperire vs lead time 14 zile.
PEU-WF-WINTER-5L,DE_BER,Lichid parbriz iarna -20C 5L,winter_fluids,Berlin,Germany,Central,585.4331999999999,27.877771428571425,33.1522,0.1404761904761904,-1.21,0.86,0,21,0,0,0,0,0,0,21,0,21,21,21,31.232142857142858,704.0,655.875,-10.74,1.7547,1.0174,74.86,303,80,160,80,14,0,SUP-FLUIDS-EU,EuroFluids Logistics,DE,0.93,0.6,303,390.2887999999999,-282.43319999999994,10.868874146108631,503.4409999999999,200.44099999999992,396,critical,282.43,Order 396 buc pentru a acoperi lead time + safety stock.,order,355,high,Risc stockout: 11.0 zile acoperire vs lead time 14 zile.
PEU-WF-WINTER-5L,PL_WAW,Lichid parbriz iarna -20C 5L,winter_fluids,Warsaw,Poland,Central,585.8333,27.89682380952381,33.1269,-1.7014285714285713,-3.21,-0.84,0,21,0,0,0,0,0,3,21,0,21,21,21,31.571428571428573,734.0,663.0,-11.64,1.8519,1.4082,77.48,314,80,160,80,14,0,SUP-FLUIDS-EU,EuroFluids Logistics,DE,0.93,0.6,314,390.5555333333333,-271.8333,11.255761261145471,503.6824333333333,189.68243333333328,385,critical,271.83,Order 385 buc pentru a acoperi lead time + safety stock.,order,342,high,Risc stockout: 11.5 zile acoperire vs lead time 14 zile.
PEU-WF-WINTER-5L,RO_BUC,Lichid parbriz iarna -20C 5L,winter_fluids,Bucharest,Romania,East,580.4206,27.639076190476192,31.2833,-0.7733333333333334,-2.37,0.23,0,21,0,0,0,0,0,3,21,0,21,21,21,29.357142857142858,675.0,616.5,-5.85,1.7887,1.1145,74.44,322,80,160,80,14,0,SUP-FLUIDS-EU,EuroFluids Logistics,DE,0.93,0.6,322,386.9470666666667,-258.42060000000004,11.650171884571963,498.23036666666667,176.23036666666667,370,critical,258.42,Order 370 buc pentru a acoperi lead time + safety stock.,order,335,high,Risc stockout: 11.7 zile acoperire vs lead time 14 zile.
PEU-WF-WINTER-5L,CZ_PRG,Lichid parbriz iarna -20C 5L,winter_fluids,Prague,Czechia,Central,573.7517,27.321509523809524,32.6947,-1.0623809523809524,-2.47,0.02,0,21,0,0,0,0,0,3,21,0,21,21,21,30.5,714.0,640.5,-10.42,1.8455,1.2257,75.72,322,80,160,80,14,0,SUP-FLUIDS-EU,EuroFluids Logistics,DE,0.93,0.6,322,382.5011333333333,-251.75170000000003,11.78558556341132,495.1958333333333,173.19583333333333,365,critical,251.75,Order 365 buc pentru a acoperi lead time + safety stock.,order,328,high,Risc stockout: 11.9 zile acoperire vs lead time 14 zile.
PEU-WINTER-TIRE-205,FI_HEL,Anvelopa iarna 205/55R16,tires,Helsinki,Finland,Nordic,294.4346,14.020695238095238,14.8596,-6.748571428571428,-8.29,-5.81,0,21,21,0,0,0,0,0,21,0,21,21,21,19.946428571428573,349.0,418.87500000000006,-29.71,2.8914,1.3555,93.8,123,22,44,22,21,0,SUP-TIRES-PL,Central Europe Tyres,PL,0.89,1.0,123,294.4346,-171.4346,8.772745512152255,331.2942,208.2942,307,critical,171.43,Order 307 buc pentru a acoperi lead time + safety stock.,order,293,high,"Risc stockout: 8.8 zile acoperire vs lead time 21 zile. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-WF-WINTER-5L,DK_CPH,Lichid parbriz iarna -20C 5L,winter_fluids,Copenhagen,Denmark,North_Central,528.8302,25.18239047619048,30.457,1.08,-0.06,2.6,0,16,0,0,0,0,0,0,16,0,16,16,16,29.696428571428573,638.0,623.625,-15.2,1.6564,0.9085,74.05,340,80,160,80,14,0,SUP-FLUIDS-EU,EuroFluids Logistics,DE,0.93,0.6,340,352.55346666666674,-188.8302,13.501497676321335,463.01046666666673,123.01046666666673,300,critical,188.83,Order 300 buc pentru a acoperi lead time + safety stock.,order,240,medium,Risc stockout: 14.3 zile acoperire vs lead time 14 zile.
PEU-WINTER-TIRE-205,SE_STO,Anvelopa iarna 205/55R16,tires,Stockholm,Sweden,Nordic,280.7393,13.368538095238096,14.6928,-4.496666666666667,-5.53,-3.03,0,21,9,0,0,0,0,0,21,0,21,21,21,17.5,338.0,367.5,-23.61,2.6798,1.1546,89.68,127,22,44,22,21,0,SUP-TIRES-PL,Central Europe Tyres,PL,0.89,1.0,127,280.7393,-153.73930000000001,9.499916116132518,317.4321,190.4321,285,critical,153.74,Order 285 buc pentru a acoperi lead time + safety stock.,order,265,high,"Risc stockout: 9.6 zile acoperire vs lead time 21 zile. Include fereastra de salariu, unde istoricul are uplift de cerere."
