forecast_generated_at_utc,forecast_date,horizon_day,timestamp,sku,part_name,category,seasonality_profile,location_id,city,country_code,climate_zone,predicted_quantity,raw_predicted_quantity,local_guard_prediction,sale_probability,conditional_quantity_if_sale,two_stage_predicted_quantity,prediction_scope,local_calibration_weight,local_calibration_scale,predicted_revenue_eur,temperature_c,temp_change_3d_c,rain_mm,snow_cm,weather_source,weather_spike_flag,cold_snap_flag,heatwave_flag,is_payday_window,event_type,event_multiplier,segment_name,cluster
2026-05-13T15:04:08Z,2026-05-13,1,2026-05-13T18:00:00,PEU-WF-WINTER-5L,Lichid parbriz iarna -20C 5L,winter_fluids,unknown,FI_HEL,Helsinki,Finland,Nordic,39.8461,39.8461,39.8461,1.0,38.5317,38.5317,sku_location_raw_fallback,1.0,1.0,298.85,13.1,0.0,4.1,0.0,open_meteo_forecast,0,0,0,0,none,1.0,promotion_travel_sensitive,1
2026-05-13T15:04:08Z,2026-05-13,1,2026-05-13T18:00:00,PEU-WIPER-650,Stergatoare fata 650mm,wipers,unknown,FI_HEL,Helsinki,Finland,Nordic,12.614,12.614,12.614,1.0,12.8641,12.8641,sku_location_raw_fallback,1.0,1.0,227.05,13.1,0.0,4.1,0.0,open_meteo_forecast,0,0,0,0,none,1.0,fast_moving_stable,2
2026-05-13T15:04:08Z,2026-05-13,1,2026-05-13T18:00:00,PEU-BATT-70AH,Baterie 70Ah AGM/EFB,battery,unknown,FI_HEL,Helsinki,Finland,Nordic,6.9268,6.9268,6.9268,1.0,6.9723,6.9723,sku_location_raw_fallback,1.0,1.0,1004.39,13.1,0.0,4.1,0.0,open_meteo_forecast,0,0,0,0,none,1.0,fast_moving_stable,2
2026-05-13T15:04:08Z,2026-05-13,1,2026-05-13T18:00:00,PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,ac_cooling,unknown,FI_HEL,Helsinki,Finland,Nordic,2.9183,2.9183,2.9183,1.0,3.0884,3.0884,sku_location_raw_fallback,1.0,1.0,113.81,13.1,0.0,4.1,0.0,open_meteo_forecast,0,0,0,0,none,1.0,summer_heat_sensitive,3
2026-05-13T15:04:08Z,2026-05-13,1,2026-05-13T18:00:00,PEU-CABIN-CARBON,Filtru habitaclu cu carbon,filters,unknown,FI_HEL,Helsinki,Finland,Nordic,6.4246,6.4246,6.4246,1.0,6.4193,6.4193,sku_location_raw_fallback,1.0,1.0,122.07,13.1,0.0,4.1,0.0,open_meteo_forecast,0,0,0,0,none,1.0,fast_moving_stable,2
2026-05-13T15:04:08Z,2026-05-13,1,2026-05-13T18:00:00,PEU-SUMMER-TIRE-205,Anvelopa vara 205/55R16,tires,unknown,FI_HEL,Helsinki,Finland,Nordic,1.9793,1.9793,1.9793,1.0,1.9533,1.9533,sku_location_raw_fallback,1.0,1.0,142.51,13.1,0.0,4.1,0.0,open_meteo_forecast,0,0,0,0,none,1.0,fast_moving_stable,2
2026-05-13T15:04:08Z,2026-05-13,1,2026-05-13T18:00:00,PEU-WINTER-TIRE-205,Anvelopa iarna 205/55R16,tires,unknown,FI_HEL,Helsinki,Finland,Nordic,15.8046,15.8046,15.8046,1.0,15.8785,15.8785,sku_location_raw_fallback,1.0,1.0,1232.76,13.1,0.0,4.1,0.0,open_meteo_forecast,0,0,0,0,none,1.0,winter_weather_sensitive,4
2026-05-13T15:04:08Z,2026-05-13,1,2026-05-13T18:00:00,PEU-ANTIFREEZE-G12,Antigel G12 concentrat 1L,coolant,unknown,FI_HEL,Helsinki,Finland,Nordic,12.6791,12.6791,12.6791,1.0,12.8672,12.8672,sku_location_raw_fallback,1.0,1.0,107.77,13.1,0.0,4.1,0.0,open_meteo_forecast,0,0,0,0,none,1.0,fast_moving_stable,2
2026-05-13T15:04:08Z,2026-05-13,1,2026-05-13T18:00:00,PEU-COOLANT-PREMIX,Lichid racire premix 5L,coolant,unknown,FI_HEL,Helsinki,Finland,Nordic,10.9604,10.9604,10.9604,1.0,10.9184,10.9184,sku_location_raw_fallback,1.0,1.0,175.37,13.1,0.0,4.1,0.0,open_meteo_forecast,0,0,0,0,none,1.0,fast_moving_stable,2
2026-05-13T15:04:08Z,2026-05-13,1,2026-05-13T18:00:00,PEU-OIL-5W30-5L,Ulei motor 5W30 5L,maintenance,unknown,FI_HEL,Helsinki,Finland,Nordic,9.033,9.033,9.033,1.0,9.4721,9.4721,sku_location_raw_fallback,1.0,1.0,379.39,13.1,0.0,4.1,0.0,open_meteo_forecast,0,0,0,0,none,1.0,salary_event_sensitive,0
