date,location_id,temperature_c,rain_mm,snow_cm,temp_change_1d_c,temp_change_3d_c,abs_temp_change_3d_c,cold_snap_flag,heatwave_flag,weather_spike_flag,temperature_drop_flag,temperature_rise_flag,fuel_price_eur_l,mobility_index
2024-01-01,FI_HEL,-7.0,1.5,9.4,0.0,0.0,0.0,1,0,1,0,0,1.65,0.945
2024-01-02,FI_HEL,-6.8,1.1,9.4,0.2,0.0,0.0,1,0,1,0,0,1.65,0.946
2024-01-03,FI_HEL,-7.1,0.6,9.5,-0.3,0.0,0.0,1,0,1,0,0,1.65,0.947
2024-01-04,FI_HEL,-6.8,1.0,9.3,0.3,0.2,0.2,1,0,1,0,0,1.65,0.948
2024-01-05,FI_HEL,-6.8,1.4,9.0,0.0,0.0,0.0,1,0,1,0,0,1.65,0.949
2024-01-06,FI_HEL,-6.8,1.5,9.4,0.0,0.3,0.3,1,0,1,0,0,1.65,0.95
2024-01-07,FI_HEL,-6.9,1.3,9.5,-0.1,-0.1,0.1,1,0,1,0,0,1.65,0.951
2024-01-08,FI_HEL,-6.7,1.6,9.0,0.2,0.1,0.1,1,0,1,0,0,1.65,0.952
2024-01-09,FI_HEL,-6.9,0.9,9.0,-0.2,-0.1,0.1,1,0,1,0,0,1.66,0.954
2024-01-10,FI_HEL,-7.0,1.5,9.8,-0.1,-0.1,0.1,1,0,1,0,0,1.66,0.955
2024-01-11,FI_HEL,-6.9,1.3,9.3,0.1,-0.2,0.2,1,0,1,0,0,1.66,0.956
2024-01-12,FI_HEL,-6.9,1.4,9.4,0.0,0.0,0.0,1,0,1,0,0,1.66,0.957
2024-01-13,FI_HEL,-6.9,0.5,9.2,0.0,0.1,0.1,1,0,1,0,0,1.66,0.958
2024-01-14,FI_HEL,-6.9,1.4,9.2,0.0,0.0,0.0,1,0,1,0,0,1.66,0.959
2024-01-15,FI_HEL,-6.9,1.3,9.6,0.0,0.0,0.0,1,0,1,0,0,1.66,0.96
2024-01-16,FI_HEL,-7.0,1.7,9.4,-0.1,-0.1,0.1,1,0,1,0,0,1.66,0.962
2024-01-17,FI_HEL,-7.1,1.2,9.7,-0.1,-0.2,0.2,1,0,1,0,0,1.66,0.963
2024-01-18,FI_HEL,-7.0,1.0,9.7,0.1,-0.1,0.1,1,0,1,0,0,1.66,0.964
2024-01-19,FI_HEL,-7.0,1.0,9.4,0.0,0.0,0.0,1,0,1,0,0,1.66,0.965
2024-01-20,FI_HEL,-7.2,1.3,9.7,-0.2,-0.1,0.1,1,0,1,0,0,1.66,0.967
2024-01-21,FI_HEL,-7.1,1.3,9.8,0.1,-0.1,0.1,1,0,1,0,0,1.66,0.968
2024-01-22,FI_HEL,-7.0,1.0,9.8,0.1,0.0,0.0,1,0,1,0,0,1.66,0.969
2024-01-23,FI_HEL,-7.1,0.9,9.5,-0.1,0.1,0.1,1,0,1,0,0,1.66,0.97
2024-01-24,FI_HEL,-7.0,1.6,9.5,0.1,0.1,0.1,1,0,1,0,0,1.67,0.972
2024-01-25,FI_HEL,-6.8,1.1,9.1,0.2,0.2,0.2,1,0,1,0,0,1.67,0.973
2024-01-26,FI_HEL,-6.6,1.2,9.2,0.2,0.5,0.5,1,0,1,0,0,1.67,0.974
2024-01-27,FI_HEL,-6.7,1.1,9.2,-0.1,0.3,0.3,1,0,1,0,0,1.67,0.976
